date,duration_sec,subject,age,gender,virtual sickness_1_discomfort,virtual_sickness_2_fatigue,virtual_sickness_3_eyestrain,virtual_sickness_4_difficultyfocusing,virtual_sickness_5_headache,virtual_sickness_6_fullnessofhead,virtual_sickness_7_blurredvision,virtual_sickness_8_dizzy,virtual_sickness_9_vertigo,spatial_presence_1_transported,spatial_presence_2_threedimensional,spatial_presence_3_realisticproportions,spatial_presence_4_movefreely,spatial_presence_5_physicallypresent,binge_drinking,brunch,burger,buckle_up,coffee,disobey_vape,distracted_driving,drugged_driving,drunk_driving,education_donation,furniture,hotel,lawyer,marijuana_driving,pizza,salad,smartphone,stop_smoking,texting_driving,underage_drinking,distractor_moonrise_hotel,distractor_pollen,distractor_exit_32,distractor_nhtsa,sum_fa
1/23/23 9:23,131,sub001,27,2,1,1,1,2,1,2,2,1,1,5,5,5,5,5,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0
1/24/23 5:46,117,sub002,41,1,1,1,2,1,1,1,1,1,1,4,4,5,4,5,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
1/24/23 7:19,213,sub003,42,1,2,1,2,1,1,2,2,1,1,2,4,3,2,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1/25/23 8:13,255,sub004,19,1,1,1,1,1,1,1,2,1,1,4,3,4,2,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1/25/23 14:11,297,sub005,21,1,1,2,3,2,1,1,3,1,1,2,5,5,4,2,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
1/26/23 10:49,2055,sub006,21,2,1,1,1,1,1,1,1,1,1,4,4,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
1/26/23 13:52,223,sub007,22,1,1,2,1,1,1,1,1,1,1,4,1,2,1,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1
1/27/23 9:17,369,sub008,19,2,2,1,2,2,1,2,2,1,1,4,4,2,2,2,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3
1/30/23 7:29,267,sub009,40,1,1,1,2,3,1,1,2,1,1,4,4,4,2,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0
1/30/23 8:21,215,sub010,52,2,1,1,2,2,1,1,1,1,1,4,3,4,4,4,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1/30/23 9:22,118,sub011,20,2,1,1,1,1,1,1,1,1,1,5,5,5,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1/30/23 12:28,91,sub012,19,2,1,1,1,1,1,1,1,1,1,4,4,4,4,4,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1/30/23 12:46,178,sub013,19,2,1,1,2,2,1,2,3,1,2,4,4,4,3,4,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0
1/31/23 7:34,183,sub014,20,1,1,1,1,1,1,1,1,1,1,4,3,4,4,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
1/31/23 11:10,218,sub015,21,1,2,1,2,1,1,2,3,2,1,2,3,4,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/31/23 9:58,144,sub016,20,1,1,1,1,2,1,1,1,1,1,5,5,4,3,4,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
1/31/23 13:11,141,sub017,21,2,2,1,2,1,1,2,2,1,1,4,3,4,5,4,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
1/31/23 15:13,171,sub018,21,2,1,1,2,2,1,1,2,1,1,4,4,2,3,2,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2/1/23 7:08,378,sub019,73,1,1,1,1,1,1,1,1,1,1,5,5,4,5,5,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
2/1/23 8:18,307,sub020,30,2,1,1,1,2,1,1,2,1,1,4,4,4,2,3,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
2/1/23 12:15,456,sub021,20,2,2,3,3,2,1,2,4,3,2,4,5,4,5,2,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0
2/2/23 11:25,383,sub022,20,2,1,1,1,1,1,1,1,1,1,5,5,5,5,5,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1
2/2/23 12:09,348,sub023,20,1,1,1,2,1,1,1,2,1,1,5,5,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
2/2/23 12:46,103,sub024,19,1,1,1,1,2,1,1,2,1,1,5,5,4,5,5,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0
2/2/23 13:12,525,sub025,26,2,1,1,3,1,1,1,3,1,1,4,4,4,2,4,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
2/2/23 15:28,171,sub026,18,1,2,2,2,1,1,2,1,1,3,4,4,4,3,4,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0
2/3/23 7:33,225,sub027,28,1,1,1,1,2,1,1,2,1,1,3,4,2,2,4,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
2/3/23 8:15,136,sub028,22,1,1,1,1,2,1,1,1,1,1,3,5,2,2,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
2/3/23 11:17,160,sub029,22,1,1,2,4,3,2,4,4,2,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,2
2/3/23 12:13,367,sub030,21,1,1,1,2,2,1,1,2,1,1,4,4,3,4,2,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0
2/3/23 13:18,380,sub031,32,2,3,2,1,2,2,1,3,1,1,4,4,4,3,2,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0
2/3/23 13:59,469,sub032,43,1,1,1,1,1,1,1,3,1,1,4,5,4,5,4,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0
2/3/23 14:19,316,sub033,37,1,1,1,2,2,1,1,2,1,1,5,4,5,3,5,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1
2/6/23 8:10,1604,sub034,20,1,1,1,1,1,1,1,1,1,1,2,3,2,3,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0
2/6/23 12:23,140,sub035,22,1,1,1,2,2,1,1,3,2,1,1,4,3,2,4,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1
2/6/23 13:17,101,sub036,19,2,1,1,1,3,1,1,3,1,1,4,4,4,4,2,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0
2/6/23 15:14,120,sub037,21,2,1,1,1,1,1,1,2,1,1,4,5,4,4,4,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
2/7/23 7:20,172,sub038,19,2,2,1,2,1,1,1,1,1,1,4,4,4,3,2,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1
2/7/23 8:24,101,sub039,22,2,1,1,1,1,1,1,1,1,1,3,5,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
2/7/23 9:16,548,sub040,19,1,1,1,1,2,1,2,2,1,1,4,4,5,3,4,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0